Period,Canadian Dollar ($CADUSD) - Rate Value,CAN CPI,US CPI,CAN Foreign Reserves,US Foreign Reserves,Foreign Reserves Difference,Foreign Reserves Difference Percentage,CPI Difference,CPI Difference Percentage
2001-06,1.5236666666666667,3.35,3.25,29.87,28.78,1.0899999999999999,-0.03649146300636086,0.10000000000000009,-0.02985074626865669
2001-07,1.532258064516129,2.71,2.72,30.63,29.21,1.4199999999999982,-0.04635977799542923,-0.010000000000000231,0.0036900369003691758
2001-08,1.54,2.82,2.72,31.53,30.6,0.9299999999999997,-0.02949571836346332,0.09999999999999964,-0.03546099290780125
2001-09,1.5666666666666667,2.6,2.65,30.2,30.6,-0.40000000000000213,0.013245033112582849,-0.04999999999999982,0.019230769230769162
2001-10,1.572258064516129,1.87,2.13,31.0,30.05,0.9499999999999993,-0.030645161290322576,-0.2599999999999998,0.1390374331550801
2001-11,1.593,0.62,1.9,30.74,29.96,0.7799999999999976,-0.025374105400130076,-1.2799999999999998,2.064516129032258
2001-12,1.5790322580645162,0.72,1.55,30.48,28.98,1.5,-0.049212598425196874,-0.8300000000000001,1.1527777777777781
2002-01,1.600967741935484,1.35,1.14,29.91,28.23,1.6799999999999997,-0.056168505516549616,0.2100000000000002,-0.15555555555555567
2002-02,1.5942857142857143,1.45,1.14,30.36,28.38,1.9800000000000004,-0.0652173913043479,0.31000000000000005,-0.21379310344827596
2002-03,1.5890322580645162,1.85,1.48,30.17,28.64,1.5300000000000011,-0.05071262843884661,0.3700000000000001,-0.20000000000000007
2002-04,1.5800000000000003,1.74,1.64,31.25,29.63,1.620000000000001,-0.05184,0.10000000000000009,-0.05747126436781613
2002-05,1.550967741935484,1.12,1.18,31.91,30.74,1.1700000000000017,-0.036665622062049597,-0.05999999999999983,0.05357142857142838
2002-06,1.5313333333333332,1.22,1.07,32.83,32.17,0.6599999999999966,-0.020103563813585024,0.1499999999999999,-0.12295081967213106
2002-07,1.5445161290322582,2.13,1.46,32.19,32.27,-0.0800000000000054,0.0024852438645543984,0.6699999999999999,-0.3145539906103286
2002-08,1.5696774193548388,2.54,1.8,32.77,32.74,0.030000000000001137,-0.0009154714678059062,0.74,-0.2913385826771654
2002-09,1.5746666666666667,2.33,1.51,32.36,32.25,0.10999999999999943,-0.0033992583436340817,0.8200000000000001,-0.351931330472103
2002-10,1.578709677419355,3.16,2.03,33.05,32.17,0.8799999999999955,-0.02662632375189089,1.1300000000000003,-0.3575949367088609
2002-11,1.5710000000000002,4.42,2.2,32.32,32.31,0.00999999999999801,-0.0003094059405940319,2.2199999999999998,-0.502262443438914
2002-12,1.5603225806451615,3.8,2.38,32.69,33.82,-1.1300000000000026,0.034567145916182485,1.42,-0.37368421052631584
2003-01,1.5435483870967743,4.51,2.6,33.1,34.14,-1.0399999999999991,0.031419939577039147,1.9099999999999997,-0.4235033259423503
2003-02,1.5142857142857142,4.68,2.98,31.43,34.48,-3.049999999999997,0.09704104358892773,1.6999999999999997,-0.3632478632478632
2003-03,1.477741935483871,4.25,3.02,31.26,34.76,-3.4999999999999964,0.11196417146513093,1.23,-0.28941176470588237
2003-04,1.4573333333333334,2.91,2.22,31.63,35.15,-3.5199999999999996,0.11128675308251657,0.69,-0.2371134020618556
2003-05,1.3854838709677417,2.81,2.06,32.7,36.15,-3.4499999999999957,0.10550458715596323,0.75,-0.26690391459074736
2003-06,1.3523333333333334,2.6,2.11,31.68,35.69,-4.009999999999998,0.12657828282828287,0.4900000000000002,-0.18846153846153857
2003-07,1.3800000000000001,2.09,2.11,30.8,35.19,-4.389999999999997,0.1425324675324675,-0.020000000000000018,0.009569377990430672
2003-08,1.3961290322580644,1.98,2.16,30.68,35.3,-4.619999999999997,0.1505867014341591,-0.18000000000000016,0.09090909090909105
2003-09,1.363,2.18,2.32,31.85,37.26,-5.409999999999997,0.1698587127158555,-0.13999999999999968,0.06422018348623837
2003-10,1.3212903225806452,1.58,2.04,31.05,37.43,-6.379999999999999,0.20547504025764884,-0.45999999999999996,0.2911392405063291
2003-11,1.3096666666666665,1.58,1.77,31.24,38.24,-7.0000000000000036,0.2240717029449426,-0.18999999999999995,0.120253164556962
2003-12,1.3138709677419356,2.08,1.88,31.54,39.72,-8.18,0.25935320228281555,0.20000000000000018,-0.09615384615384626
